2025-02-09 00:03:24,283 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-02-09 00:03:24,329 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-02-09 00:03:24,331 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-02-09 00:03:24,331 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-02-09 00:03:24,360 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-02-09 00:03:24,361 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-02-09 00:03:24,361 INFO  SwAddin.cs: 201 - Setting up command manager
2025-02-09 00:03:24,362 INFO  SwAddin.cs: 204 - Adding command manager
2025-02-09 00:03:24,364 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-02-09 00:03:24,365 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-02-09 00:03:24,366 INFO  SwAddin.cs: 210 - Adding event handlers
2025-02-09 00:03:24,413 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-02-09 01:17:51,776 INFO  SwAddin.cs: 294 - Assembly export called for file robot_assembly.SLDASM
2025-02-09 01:17:51,778 INFO  SwAddin.cs: 299 - Save is required
2025-02-09 01:17:51,778 INFO  SwAddin.cs: 313 - Saving assembly
2025-02-09 01:17:52,011 INFO  SwAddin.cs: 316 - Opening property manager
2025-02-09 01:17:52,042 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robot_assembly.SLDASM
2025-02-09 01:17:52,054 INFO  ExportHelperExtension.cs: 1136 - Found 43 in robot_assembly.SLDASM
2025-02-09 01:17:52,055 INFO  ExportHelperExtension.cs: 1145 - Found 4 features of type [CoordSys] in robot_assembly.SLDASM
2025-02-09 01:17:52,056 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-02-09 01:17:52,057 INFO  ExportHelperExtension.cs: 1160 - 5 components to check
2025-02-09 01:17:52,058 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 2nd_wheel_part-2
2025-02-09 01:17:52,059 INFO  ExportHelperExtension.cs: 1136 - Found 28 in 2nd_wheel_part-2
2025-02-09 01:17:52,060 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 2nd_wheel_part-2
2025-02-09 01:17:52,060 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Lidar Assembly-1
2025-02-09 01:17:52,061 INFO  ExportHelperExtension.cs: 1136 - Found 38 in Lidar Assembly-1
2025-02-09 01:17:52,061 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Lidar Assembly-1
2025-02-09 01:17:52,063 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_part-2
2025-02-09 01:17:52,063 INFO  ExportHelperExtension.cs: 1136 - Found 31 in base_part-2
2025-02-09 01:17:52,064 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base_part-2
